17485,"EKTR3","3"
17493,"CPTP3B","3"
17540,"NEWT3B","3"
17558,"SLCT3B","3"
17639,"TIMP3","3"
17671,"VIVT3","3"
17671,"VIVT4","4"
17779,"MAOR3B","3"
17779,"MAOR4B","4"
17884,"BETP3B","3"
17892,"STBP3","3"
17892,"STBP4","4"
17914,"MMXM3","3"
17949,"MRSA5B","4"
17949,"MRSA3B","3"
17965,"OPGM3B","3"
17973,"KROT3","3"
18139,"CSRN5","5"
18139,"CSRN3","3"
18309,"CELP5","5"
18309,"CELP3","3"
18333,"PRPT3B","3"
18350,"GETI4","4"
18350,"GETI3","3"
18368,"GEPA4","4"
18368,"GEPA3","3"
18376,"TRPL4","4"
18376,"TRPL3","3"
18414,"IDNT3","3"
18465,"UGPA3","3"
18538,"MNZC3B","3"
18597,"DTCY3","3"
18597,"DTCY4","4"
18627,"SAPR3","3"
18627,"SAPR4","4"
18651,"VDNP3B","3"
18660,"CPFE3","3"
18686,"VPTA4","4"
18686,"VPTA3","3"
18694,"VPSC3","3"
18694,"VPSC4","4"
18708,"PEAB3","3"
18708,"PEAB4","4"
18724,"BRAP3","3"
18724,"BRAP4","4"
18775,"IVPR3B","3"
18775,"IVPR4B","4"
18821,"CCRO3","3"
19062,"CANT3B","3"
19062,"CANT4B","4"
19070,"CALA3B","3"
19070,"CALA4B","4"
19097,"CAIA3B","3"
19100,"CTAX3","3"
19100,"CTAX4","4"
19119,"CABI3B","3"
19135,"CACO3B","3"
19178,"NVMP3B","3"
19194,"NVML3B","3"
19208,"CRTE5B","4"
19208,"CRTE3B","3"
19232,"PRMN3B","3"
19240,"CRSC3B","3"
19305,"BIOM3","3"
19313,"AELP3","3"
19330,"TPIS3","3"
19348,"ITUB4","4"
19348,"ITUB3","3"
19437,"ANDG4B","4"
19437,"ANDG3B","3"
19445,"CSMG3","3"
19453,"ECOR3","3"
19550,"NATU3","3"
19569,"GOLL4","4"
19615,"GRND3","3"
19623,"DASA3","3"
19658,"RNAR3","3"
19739,"RENT3","3"
19763,"ENBR3","3"
19771,"ARTR3","3"
19836,"CSAN3","3"
19879,"LIGT3","3"
19909,"BRML3","3"
19917,"TEMP3","3"
19925,"BRPR3","3"
19992,"TOTS3","3"
20010,"EQTL3","3"
20028,"VLID3","3"
20036,"AGRO3","3"
20044,"CARD3","3"
20060,"LUPA3","3"
20087,"EMBR3","3"
20125,"ODPV3","3"
20141,"CREM3","3"
20150,"AFLU5","5"
20150,"AFLU3","3"
20168,"OGXP3","3"
20184,"CCXC3","3"
20257,"TAEE3","3"
20257,"TAEE11","4"
20338,"MDIA3","3"
20346,"PFRM3","3"
20354,"VAGR3","3"
20362,"POSI3","3"
20370,"LPSB3","3"
20435,"TCSA3","3"
20451,"RDNI3","3"
20478,"PDGR3","3"
20494,"IGTA3","3"
20516,"SMTO3","3"
20524,"EVEN3","3"
20532,"SANB3","3"
20532,"SANB4","4"
20540,"CPRE3","3"
20567,"PINE3","3"
20567,"PINE4","4"
20575,"JBSS3","3"
20605,"JHSF3","3"
20613,"FRIO3","3"
20621,"FHER3","3"
20630,"CRDE3","3"
20648,"CEED3","3"
20648,"CEED4","4"
20680,"SFSA4","4"
20680,"SFSA3","3"
20702,"VIVR3","3"
20710,"LOGN3","3"
20729,"PRBC4","3"
20745,"SLCE3","3"
20770,"EZTC3","3"
20788,"MRFG3","3"
20796,"DAYC4","3"
20800,"TGMA3","3"
20842,"MAGG3","3"
20877,"HBOR3","3"
20885,"IDVL3","3"
20885,"IDVL4","4"
20915,"MRVE3","3"
20931,"BEEF3","3"
20958,"ABCB4","3"
20966,"SGPS3","3"
20982,"MULT3","3"
20990,"BTOW3","3"
21008,"GSHP3","3"
21016,"ESTC3","3"
21040,"CCPR3","3"
21091,"DTEX3","3"
21121,"SULA4","4"
21121,"SULA3","3"
21130,"TRIS3","3"
21180,"BBRK3","3"
21199,"BPAN4","3"
21237,"ENEV3","3"
21300,"ALSC3","3"
21334,"NUTR3","3"
21342,"OSXB3","3"
21350,"DIRR3","3"
21393,"GPAR3","3"
21431,"HYPE3","3"
21440,"LLIS3","3"
21482,"PRML3","3"
21490,"ALUP3","3"
21490,"ALUP4","4"
21610,"BVMF3","3"
21636,"RNEW3","3"
21636,"RNEW4","4"
21717,"TRPN3","3"
21725,"SWET3","3"
21733,"CIEL3","3"
21792,"CTIP3","3"
21881,"FLRY3","3"
21946,"MPLU3","3"
22012,"MILS3","3"
22020,"JSLG3","3"
22055,"AMAR3","3"
22128,"RDTR3","3"
22136,"TERI3","3"
22179,"AFLT3","3"
22187,"PRIO3","3"
22217,"BRIN3","3"
22330,"RJCP3","3"
22349,"ARZZ3","3"
22357,"SSBR3","3"
22365,"QGEP3","3"
22454,"SHOW3","3"
22470,"MGLU3","3"
22497,"QUAL3","3"
22500,"BPHA3","3"
22519,"TECN3","3"
22551,"SEDU3","3"
22578,"HPIA3","3"
22594,"STKF3","3"
22616,"BPAC3","3"
22616,"BPAC5","5"
22691,"LCAM3","3"
22772,"VIGR3","3"
22780,"UCAS3","3"
22799,"SNSL3","3"
22845,"BSEV3","3"
22985,"NRTQ3","3"
23035,"LINX3","3"
23140,"SMLE3","3"
23159,"BBSE3","3"
23175,"CABB3","3"
23183,"ALTS3","3"
23183,"ALTS11","4"
23221,"SEER3","3"
23248,"ANIM3","3"
23264,"ABEV3","3"
23302,"QUSW3","3"
23310,"CVCB3","3"
23450,"RUMO3","3"
23485,"RLOG3","3"
23493,"OGSA3","3"
23507,"OFSA3","3"
23574,"MEAL3","3"
23590,"PARC3","3"
23612,"MSRO3","3"
23710,"HCBR3","3"
23728,"PRCA3","3"
11592,"UNIP6","6"
